bairro,qtd_idosos,cidade,estado,full_address,latitude,longitude
MALVINAS,2046,CAMPINA GRANDE,PB,MALVINAS CAMPINA GRANDE PB,-7.2304728,-35.9342721
MARIA PORTO DE FARIAS,1,CAMPINA GRANDE,PB,MARIA PORTO DE FARIAS CAMPINA GRANDE PB,-7.2508003,-35.9210485
MARINHO,4,CAMPINA GRANDE,PB,MARINHO CAMPINA GRANDE PB,-7.2377595,-35.8674234
MARIZ,16,CAMPINA GRANDE,PB,MARIZ CAMPINA GRANDE PB,-7.2444754,-35.8714465
MIRANTE,14,CAMPINA GRANDE,PB,MIRANTE CAMPINA GRANDE PB,-7.233373,-35.8648
MONTE CASTELO,563,CAMPINA GRANDE,PB,MONTE CASTELO CAMPINA GRANDE PB,-7.219849,-35.8648
MONTE SANTO,721,CAMPINA GRANDE,PB,MONTE SANTO CAMPINA GRANDE PB,-7.2121492,-35.9002248
MUTIRAO,111,CAMPINA GRANDE,PB,MUTIRAO CAMPINA GRANDE PB,-7.2284894,-35.9477737
NACOES,77,CAMPINA GRANDE,PB,NAÇÕES CAMPINA GRANDE PB,-7.1915868,-35.8784268
NOVA BRASILIA,681,CAMPINA GRANDE,PB,NOVA BRASILIA CAMPINA GRANDE PB,-7.2158328,-35.8593486
NOVO CRUZEIRO,84,CAMPINA GRANDE,PB,NOVO CRUZEIRO CAMPINA GRANDE PB,-7.2549683,-35.9032897
NOVO HORIZONTE,78,CAMPINA GRANDE,PB,NOVO HORIZONTE CAMPINA GRANDE PB,-7.2882164,-35.8985135
PALMEIRA,349,CAMPINA GRANDE,PB,PALMEIRA CAMPINA GRANDE PB,-7.2083835,-35.8937329
PEDREGAL,680,CAMPINA GRANDE,PB,PEDREGAL CAMPINA GRANDE PB,-7.2232999,-35.9077165
PRATA,194,CAMPINA GRANDE,PB,PRATA CAMPINA GRANDE PB,-7.219399,-35.8947759
PRESIDENTE MEDICI,435,CAMPINA GRANDE,PB,PRESIDENTE MEDICI CAMPINA GRANDE PB,-7.2512205,-35.9104405
QUARENTA,465,CAMPINA GRANDE,PB,QUARENTA CAMPINA GRANDE PB,-7.231195,-35.8976904
QUEIMADAS,1,CAMPINA GRANDE,PB,QUEIMADAS CAMPINA GRANDE PB,-7.2290752,-35.8808337
RAMADINHA,577,CAMPINA GRANDE,PB,RAMADINHA CAMPINA GRANDE PB,-7.2187005,-35.9274638
RESSURREICAO,48,CAMPINA GRANDE,PB,RESSURREIÇAO CAMPINA GRANDE PB,-7.2560878,-35.9091125
ROCHA CAVALCANTE,44,CAMPINA GRANDE,PB,ROCHA CAVALCANTE CAMPINA GRANDE PB,-7.2502325,-35.9213359
ROSA CRUZ,175,CAMPINA GRANDE,PB,ROSA CRUZ CAMPINA GRANDE PB,-7.2471703,-35.8966919
ROSA MISTICA,1,CAMPINA GRANDE,PB,ROSA MISTICA CAMPINA GRANDE PB,-7.233441,-35.901791
SANDRA CAVALCANTE,151,CAMPINA GRANDE,PB,SANDRA CAVALCANTE CAMPINA GRANDE PB,-7.24491,-35.874339
SANTA CRUZ,439,CAMPINA GRANDE,PB,SANTA CRUZ CAMPINA GRANDE PB,-7.2429541,-35.9083975
SANTA ROSA,774,CAMPINA GRANDE,PB,SANTA ROSA CAMPINA GRANDE PB,-7.2329369,-35.9070354
SANTA TEREZINHA,293,CAMPINA GRANDE,PB,SANTA TEREZINHA CAMPINA GRANDE PB,-7.2090276,-35.9366629
SANTO ANTONIO,333,CAMPINA GRANDE,PB,SANTO ANTÔNIO CAMPINA GRANDE PB,-7.2168585,-35.8729763
SANTO ISIDRO,2,CAMPINA GRANDE,PB,SANTO ISIDRO CAMPINA GRANDE PB,-7.1871795,-35.9211654
SAO JANUARIO,22,CAMPINA GRANDE,PB,SAO JANUÁRIO CAMPINA GRANDE PB,-7.2092499,-35.9320744
SAO JOSE,233,CAMPINA GRANDE,PB,SAO JOSÉ CAMPINA GRANDE PB,-7.2264045,-35.8920512
SAO JOSE DA MATA,658,CAMPINA GRANDE,PB,SAO JOSÉ DA MATA CAMPINA GRANDE PB,-7.1827683,-35.9764703
SERROTAO,348,CAMPINA GRANDE,PB,SERROTAO CAMPINA GRANDE PB,-7.2139698,-35.9424413
SEVERINO CABRAL,118,CAMPINA GRANDE,PB,SEVERINO CABRAL CAMPINA GRANDE PB,-7.2264644,-35.9188721
SITIO,5,CAMPINA GRANDE,PB,SITIO CAMPINA GRANDE PB,-7.216667,-36
TAMBOR,306,CAMPINA GRANDE,PB,TAMBOR CAMPINA GRANDE PB,-7.2536981,-35.8893265
TRES IRMAS,909,CAMPINA GRANDE,PB,TRÊS IRMAS CAMPINA GRANDE PB,-7.2600104,-35.9315489
UNIVERSITARIO,38,CAMPINA GRANDE,PB,UNIVERSITARIO CAMPINA GRANDE PB,-7.2179238,-35.9111215
VELAME,347,CAMPINA GRANDE,PB,VELAME CAMPINA GRANDE PB,-7.2800272,-35.9097595
VERDEJANTE,44,CAMPINA GRANDE,PB,VERDEJANTE CAMPINA GRANDE PB,-7.2522903,-35.93361
VILA CABRAL,134,CAMPINA GRANDE,PB,VILA CABRAL CAMPINA GRANDE PB,-7.244399,-35.8675255
